name,barcode,category,expiry_date,brand,price,stock
Leche Nochebuena,750100000001,Lácteos,2026-04-07,Nochebuena,92.18,133
Frijol Capullo,750100000002,Abarrotes,2027-06-22,Capullo,49.88,147
Shampoo Oral-B,750100000003,Higiene,2027-10-17,Oral-B,115.36,253
Jabón Dove,750100000004,Higiene,2028-03-21,Dove,10.41,92
Galletas Sabritas,750100000005,Snacks,2028-07-18,Sabritas,101.93,114
Cacahuates Oreo,750100000006,Snacks,2027-02-12,Oreo,59.64,231
Refresco Bonafont,750100000007,Bebidas,2027-02-03,Bonafont,39.07,271
Papas Oreo,750100000008,Snacks,2028-08-25,Oreo,41.92,99
Shampoo Colgate,750100000009,Higiene,2028-01-30,Colgate,92.03,45
Cloro Ariel,750100000010,Limpieza,2028-10-08,Ariel,60.06,296
Suavizante Downy,750100000011,Limpieza,2028-10-21,Downy,35.57,261
Jugo Del Valle,750100000012,Bebidas,2027-12-20,Del Valle,84.12,105
Papel Higiénico Dove,750100000013,Higiene,2026-04-06,Dove,58.83,88
Jabón Regio,750100000014,Higiene,2027-10-03,Regio,58.69,132
Refresco Del Valle,750100000015,Bebidas,2027-10-03,Del Valle,70.56,267
Arroz Zulka,750100000016,Abarrotes,2027-09-10,Zulka,113.92,148
Papel Higiénico Regio,750100000017,Higiene,2026-04-02,Regio,96.55,194
Detergente Cloralex,750100000018,Limpieza,2027-04-08,Cloralex,25.79,209
Palomitas Gamesa,750100000019,Snacks,2027-08-08,Gamesa,26.15,132
Jugo Bonafont,750100000020,Bebidas,2028-05-22,Bonafont,19.72,190
Té Frío Coca-Cola,750100000021,Bebidas,2026-04-22,Coca-Cola,111.34,105
Papel Higiénico Regio,750100000022,Higiene,2028-01-20,Regio,62.92,281
Cacahuates Ruffles,750100000023,Snacks,2027-06-10,Ruffles,81.71,202
Limpiador Cloralex,750100000024,Limpieza,2027-01-30,Cloralex,24.53,31
Té Frío Ciel,750100000025,Bebidas,2028-09-12,Ciel,81.49,231
Limpiador Fabuloso,750100000026,Limpieza,2027-12-03,Fabuloso,34.8,199
Pasta Dental Dove,750100000027,Higiene,2026-10-01,Dove,60.01,269
Té Frío Ciel,750100000028,Bebidas,2027-04-07,Ciel,20.69,112
Frijol Capullo,750100000029,Abarrotes,2027-05-01,Capullo,58.06,64
Limpiador Fabuloso,750100000030,Limpieza,2026-07-15,Fabuloso,29.36,43
Arroz La Costeña,750100000031,Abarrotes,2026-01-28,La Costeña,28.42,210
